,通知人,标题,日期,详细链接,附件
197,计划科,关于2024级学生参加2024-2025学年第二学期《大学生国家安全教育》课程学习的通知,2025-02-22,https://jwch.fzu.edu.cn//info/1038/13878.htm,"[{'附件名': '【超星尔雅使用手册（学生版）.pdf】', '下载次数': 929, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761200'}]"
198,计划科,关于通识教育选修课《国际化拔尖创新人才科研训练2025春》宣讲会及选课的通知,2025-02-22,https://jwch.fzu.edu.cn//info/1038/13879.htm,"[{'附件名': '【2025年春季国际化拔尖创新人才科研训练具体课程清单.xlsx】', '下载次数': 1676, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761347'}]"
199,教学运行,关于做好期末复习考试及下学期开学等工作的通知,2024-12-27,https://jwch.fzu.edu.cn//info/1036/13820.htm,[]
200,实践科,关于做好创新创业实践与素质拓展学分认定工作的通知,2025-03-04,https://jwch.fzu.edu.cn//info/1039/13893.htm,"[{'附件名': '【附件1：本科生创新创业实践与素质拓展学分认定汇总表（2025年版）.docx】', '下载次数': 3284, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15763390'}, {'附件名': '【附件2：本科生创新创业实践与素质拓展学分认定申请表（2025年版）.docx】', '下载次数': 2679, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15763405'}]"
201,实践科,关于做好第三十一期本科生科研训练计划项目立项申报工作的通知,2025-01-13,https://jwch.fzu.edu.cn//info/1039/13858.htm,"[{'附件名': '【第31期SRTP附件.zip】', '下载次数': 3919, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15756794'}]"
202,教学运行,关于做好2025年3月退役复学学生转专业的通知,2025-03-10,https://jwch.fzu.edu.cn//info/1036/13904.htm,"[{'附件名': '【福州大学参军退伍复学后学生转专业审批表.doc】', '下载次数': 448, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15764381'}, {'附件名': '【福州大学本科生转专业管理实施办法 .doc】', '下载次数': 433, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15764380'}]"
203,教学运行,关于2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课程教室安排的通知,2025-01-08,https://jwch.fzu.edu.cn//info/1036/13853.htm,"[{'附件名': '【2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课安排.xlsx】', '下载次数': 1210, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15756207'}]"
204,质量办,关于举办福州大学第六十三场“教学有道”研讨活动的通知,2024-12-24,https://jwch.fzu.edu.cn//info/1040/13810.htm,[]
205,实践科,关于公布2024年福州大学大学生工程实践与创新能力大赛获奖名单的通知,2024-12-24,https://jwch.fzu.edu.cn//info/1039/13808.htm,[]
206,教学运行,关于2025年元旦放假课程调整的通知,2024-12-25,https://jwch.fzu.edu.cn//info/1036/13812.htm,[]
207,教学运行,关于2024-2025学年第一学期《大学物理A（下）》和《大学物理B（下）》课程期末考试安排的通知,2024-12-29,https://jwch.fzu.edu.cn//info/1036/13833.htm,"[{'附件名': '【2401大学物理A下、B下期末考-1.17上午.xlsx】', '下载次数': 584, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742324'}]"
208,实践科,关于对2024年学院教学有关数据进行统计的通知,2024-12-30,https://jwch.fzu.edu.cn//info/1039/13836.htm,"[{'附件名': '【2024年学院教学有关数据统计表格.zip】', '下载次数': 813, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742546'}]"
209,教学运行,关于2024-2025学年第二学期本科生学期选课的通知,2024-12-23,https://jwch.fzu.edu.cn//info/1036/13804.htm,[]
210,质量办,关于上报学院本科教育教学质量保障2024年工作总结和2025年工作计划的通知,2024-12-18,https://jwch.fzu.edu.cn//info/1040/13797.htm,[]
211,教材中心,关于公布福州大学2024年本科数字教材建设立项项目的通知,2024-12-12,https://jwch.fzu.edu.cn//info/1042/13837.htm,"[{'附件名': '【福州大学2024年本科数字教材建设立项项目名单.xls】', '下载次数': 660, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742619'}]"
212,教学运行,关于2024-2025学年第一学期《大学英语（一）》和《大学英语（三）》课程期末考试安排的通知,2024-12-25,https://jwch.fzu.edu.cn//info/1036/13813.htm,"[{'附件名': '【2401英语一、三期末考-1.10.xlsx】', '下载次数': 506, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647279'}]"
213,计划科,关于2024-2025学年第二学期通识教育选修课选课的通知,2025-02-22,https://jwch.fzu.edu.cn//info/1038/13877.htm,"[{'附件名': '【超星尔雅使用手册（学生版）.pdf】', '下载次数': 2024, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761197'}, {'附件名': '【慕课堂学生操作手册.pdf】', '下载次数': 2591, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761198'}, {'附件名': '【智慧树学生手册2025春夏.pptx】', '下载次数': 1796, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761199'}]"
214,教学运行,关于2024-2025学年第一学期《大学英语（二）》课程期末考试安排的通知,2024-12-25,https://jwch.fzu.edu.cn//info/1036/13814.htm,"[{'附件名': '【2401英语二期末考-1.11上、下午.xlsx】', '下载次数': 605, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647283'}]"
215,教学运行,关于2024-2025学年第一学期《中国近现代史纲要》课程期末考试安排的通知,2024-12-17,https://jwch.fzu.edu.cn//info/1036/13796.htm,"[{'附件名': '【2401史纲随堂考.xlsx】', '下载次数': 844, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15645108'}]"
216,质量办,关于举办福州大学第六十二场“教学有道” 研讨活动的通知,2024-12-05,https://jwch.fzu.edu.cn//info/1040/13783.htm,[]
217,教学运行,关于2024-2025学年第一学期《工程制图C（上）》、《工程制图D》和《工程制图F》课程期末考试安排的通知,2024-12-25,https://jwch.fzu.edu.cn//info/1036/13815.htm,"[{'附件名': '【2401制图C（上）、D、F期末考-1.13下午.xlsx】', '下载次数': 690, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647296'}]"
218,质量办,关于举办福州大学第六十一场“教学有道” 研讨活动的通知,2024-11-26,https://jwch.fzu.edu.cn//info/1040/13769.htm,[]
219,教学运行,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程期末考试安排的通知,2024-12-24,https://jwch.fzu.edu.cn//info/1036/13805.htm,"[{'附件名': '【2401线性代数、线性代数与解析几何期末考-1.5上午.xlsx】', '下载次数': 542, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646935'}]"
